"species","CHELSA_BIOL_01","CHELSA_BIOL_02","CHELSA_BIOL_03","CHELSA_BIOL_04","CHELSA_BIOL_05","CHELSA_BIOL_06","CHELSA_BIOL_07","CHELSA_BIOL_08","CHELSA_BIOL_09","CHELSA_BIOL_10","CHELSA_BIOL_11","CHELSA_BIOL_12","CHELSA_BIOL_13","CHELSA_BIOL_14","CHELSA_BIOL_15","CHELSA_BIOL_16","CHELSA_BIOL_17","CHELSA_BIOL_18","CHELSA_BIOL_19","MAT"
"Anacampseros albidiflora",170.130860666667,120.940256083333,490.686047916667,4155.08494075,291.239209416667,44.6516720833333,246.563858083333,201.9627495,123.026488,225.33923475,109.487800583333,274.165399,40.0374371666667,11.3333394166667,36.7499704166667,112.5040265,37.1528041666667,89.666736,39.2512924166667,17.0130860666667
"Anacampseros arachnoides",169.216663684211,112.320208473684,491.607905315789,3797.10501915789,279.945698736842,51.7298405263158,228.149954631579,195.116738684211,136.178731052632,219.746557157895,113.728083631579,360.561782263158,46.3544315789474,17.3623117368421,32.1841842105263,131.936986684211,54.7360854210526,107.144070684211,60.2718628421053,16.9216663684211
"Anacampseros baeseckei",183.956301315789,131.723697105263,491.606101631579,4739.89311773684,317.450142263158,47.9677303684211,269.397419157895,184.105731789474,175.687677,244.458927368421,115.149306789474,134.333688052632,24.3042943684211,3.17801594736842,62.0553516315789,67.419022,11.5727928947368,33.2779804736842,42.2057925789474,18.3956301315789
"Anacampseros comptonii",172.507184714286,122.930966,476.426247714286,4536.94315014286,305.223794142857,47.1476467142857,258.152437285714,123.285715285714,231.581004571429,232.902389571429,109.683406285714,296.253269714286,53.6905085714286,5.28571428571429,63.6735367142857,148.042942571429,20.1167467142857,20.93822,142.295641285714,17.2507184714286
"Anacampseros filamentosa",174.217757634615,126.886215076923,482.118925230769,4706.18233551923,300.079892057692,34.9500679038462,265.116707153846,196.316902346154,141.214607673077,232.992348903846,103.465472173077,274.674952461538,49.4788116923077,4.63492711538461,64.7228626730769,140.52007,15.8804371153846,104.519842326923,36.3741851153846,17.4217757634615
"Anacampseros lanceolata",171.050163272727,105.624597318182,463.317797636364,4072.32166640909,284.623424136364,58.0998417272727,226.521994136364,161.274861,193.355518318182,225.280209681818,114.545682090909,308.023884363636,53.3609148636364,8.76853631818182,59.7155391363636,151.250876,28.6703956363636,85.4382042727273,96.4106914090909,17.1050163272727
"Anacampseros retusa",164.477105454545,118.981809454545,477.590950636364,4367.216109,292.483301363636,43.3135732727273,249.239402,117.289300454545,218.446934090909,222.660491909091,104.069639363636,264.521553636364,47.4757764545455,5.74850472727273,61.3695521818182,131.165206818182,20.0909864545455,21.0425348181818,124.933242090909,16.4477105454545
"Anacampseros rufescens",154.741280045455,114.837458181818,475.304569545455,4288.09465990909,266.760976636364,24.293194,242.375719318182,200.879153181818,90.0306628181818,209.001548818182,88.4284011818182,603.516567,89.0704344545454,15.6469883181818,52.4924158636364,258.72509,48.7372794545455,234.983571045455,48.9190976363636,15.4741280045455
"Anacampseros telephiastrum",163.842219181818,108.687837727273,471.707602727273,3965.54425618182,275.911890272727,45.8118667272727,230.142375636364,165.185888818182,146.498607363636,216.225608272727,106.201243363636,460.289264909091,58.6469143636364,18.734892,33.7711269090909,168.599822181818,58.8470382727273,136.008879727273,79.9028556363636,16.3842219181818
"Grahamia bracteata",191.179097227273,87.5894144090909,366.493903454545,5021.96523222727,297.612717409091,58.1273277272727,239.495945318182,249.749557454545,123.646857545455,253.004025545455,112.910995136364,423.540177454545,86.5679987727273,4.15784777272727,88.5405633636364,246.330520636364,13.2340119545455,242.231194909091,14.7971755909091,19.1179097227273
